product_id,product_name,product_barcode,product_description,category_id
1,Banana Bunch,100000000001,Fresh yellow bananas,1
2,Gala Apples 3 lb,100000000002,Sweet gala apples bag,1
3,Fuji Apples 3 lb,100000000003,Crisp fuji apples bag,1
4,Navel Oranges 4 lb,100000000004,Juicy navel oranges bag,1
5,Red Seedless Grapes 2 lb,100000000005,Seedless red grapes,1
6,Green Seedless Grapes 2 lb,100000000006,Seedless green grapes,1
7,Strawberries 1 lb,100000000007,Fresh strawberries,1
8,Blueberries 1 pint,100000000008,Fresh blueberries,1
9,Raspberries 6 oz,100000000009,Fresh raspberries,1
10,Blackberries 6 oz,100000000010,Fresh blackberries,1
11,Ataulfo Mango,100000000011,Sweet ripe mango,1
12,Pineapple Whole,100000000012,Whole ripe pineapple,1
13,Mini Watermelon,100000000013,Seedless mini watermelon,1
14,Cantaloupe Whole,100000000014,Fresh cantaloupe,1
15,Honeydew Melon,100000000015,Sweet honeydew melon,1
16,Bartlett Pears 2 lb,100000000016,Fresh bartlett pears,1
17,Yellow Peaches 2 lb,100000000017,Juicy yellow peaches,1
18,Black Plums 2 lb,100000000018,Sweet black plums,1
19,Kiwi 4 ct,100000000019,Kiwi fruit pack,1
20,Lemons 2 lb,100000000020,Fresh lemons bag,1
21,Roma Tomatoes 1 lb,100000000021,Fresh roma tomatoes,2
22,Vine Tomatoes 1 lb,100000000022,Fresh vine-ripened tomatoes,2
23,Baby Spinach 5 oz,100000000023,Washed baby spinach,2
24,Romaine Hearts 3 ct,100000000024,Fresh romaine hearts,2
25,Broccoli Crowns,100000000025,Fresh broccoli crowns,2
26,Cauliflower Head,100000000026,Fresh cauliflower head,2
27,Carrots 2 lb,100000000027,Whole carrots bag,2
28,Celery Bunch,100000000028,Fresh celery bunch,2
29,English Cucumber,100000000029,Long seedless cucumber,2
30,Red Bell Pepper,100000000030,Fresh red bell pepper,2
31,Green Bell Pepper,100000000031,Fresh green bell pepper,2
32,Yellow Onions 3 lb,100000000032,Yellow onions bag,2
33,Garlic Bulb,100000000033,Whole garlic bulb,2
34,Russet Potatoes 5 lb,100000000034,Russet potatoes bag,2
35,Sweet Potatoes 3 lb,100000000035,Sweet potatoes bag,2
36,Zucchini 1 lb,100000000036,Fresh zucchini squash,2
37,White Mushrooms 8 oz,100000000037,Sliced white mushrooms,2
38,Green Beans 12 oz,100000000038,Fresh green beans,2
39,Sweet Corn 4 ct,100000000039,Fresh sweet corn,2
40,Green Cabbage,100000000040,Whole green cabbage,2
41,Whole Milk 1 gal,100000000041,Whole milk gallon jug,3
42,2% Milk 1 gal,100000000042,Reduced fat milk gallon jug,3
43,Skim Milk 1 gal,100000000043,Fat free milk gallon jug,3
