store_id,store_name,phone,email
1,FreshMart Downtown,6175551001,downtown@freshmart.com
2,FreshMart Riverside,6175551002,riverside@freshmart.com
3,GreenBasket Market,6175551003,hello@greenbasketmarket.com
4,UrbanGrocers South End,6175551004,southend@urbangrocers.com
5,QuickCart Brookline,6175551005,brookline@quickcart.com
6,CityFresh Salem,6175551006,salem@cityfresh.com
7,ValueMart Medford,6175551007,medford@valuemart.com
8,Neighborhood Market Quincy,6175551008,quincy@neighborhoodmarket.com
9,FamilyGrocers Newton,6175551009,newton@familygrocers.com
10,SuperSaver Revere,6175551010,revere@supersaver.com
